race,year,edition,first_age,second_age,third_age,first_weight,second_weight,third_weight
il-lombardia,2005,99,31.56,34.16,25.52,58,59,65
il-lombardia,2006,100,32.56,28.71,26.33,58,65,60
il-lombardia,2007,101,26.1,24.15,29.72,58,57,65
il-lombardia,2008,102,27.1,24.85,21.74,58,60,63
il-lombardia,2009,103,27.3,31.72,28.47,75,65,64
il-lombardia,2010,104,28.3,31.08,34.76,75,62,68
il-lombardia,2011,105,30.45,25.17,32.45,58,59,58
il-lombardia,2012,106,33.41,34.67,25.69,58,65,63
il-lombardia,2013,107,34.43,33.47,24.08,58,61,62
il-lombardia,2014,108,28.15,34.47,28.02,59,61,69
il-lombardia,2015,109,30.91,34.1,25.37,65,59,63
il-lombardia,2016,110,26.72,27.53,29.7,55,65,63
il-lombardia,2017,111,32.92,25.34,23.48,65,62,70
il-lombardia,2018,112,28.39,33.93,26.64,63,65,64
il-lombardia,2019,113,32.9,39.49,22.76,64,61,60
il-lombardia,2020,114,35.42,30.38,24.33,65,58,68
il-lombardia,2021,115,23.07,27.94,29.19,66,65,58
